stars,text
5,The food was amazing and the service was excellent! Highly recommended.
1,Horrible experience. The waiter was rude and the food was cold.
3,It was okay. Nothing special but not bad either.
4,Great atmosphere and good drinks. The music was a bit loud though.
2,Waited for an hour to get a table and then the food was mediocre.
5,Absolutely loved it! Best pizza in town.
1,Do not go here. Found a hair in my soup. Disgusting.
3,Decent place for a quick bite. Prices are reasonable.
4,Friendly staff and tasty burgers. Will come again.
2,Overpriced and underwhelmed. Portions were tiny.
5,A hidden gem! The pasta was handmade and delicious.
1,Service was non-existent. We sat there for 20 minutes before anyone acknowledged us.
3,Average experience. Good for a lunch meeting.
4,Nice decor and clean restrooms. Food was served hot.
2,Too noisy and the tables were sticky. Not going back.
5,Perfection on a plate. The chef knows what they are doing.
1,Avoid at all costs. The manager was aggressive when we complained.
3,The salad was fresh but the dressing was too salty.
4,Solid choice for dinner. The steak was cooked perfectly.
2,Disappointed. The reviews led me to believe it was better than it is.
